# Generated from Radheef (radheef.siyamex.com) by scripts/build_thesaurus.py — do not edit by hand.
# format: word <TAB> synonym:corpus_count|synonym:count...
ހަފޮޅާ	ހަފޮޅު:0
ހަފޮޅު	ހަފޮޅާ:0
ހަފްލާ	ޕާޓީ:205
ހަދަ	ފުފޭ:4
ހަދިޔާ	ތެއްގަ:0
ހަދިޔާކުރުން	ހަދިޔާދިނުން:0
ހަދިޔާދިނުން	ހަދިޔާކުރުން:0
ހަދު	ފުފޭ:4
ހަދޮ	ފުފޭ:4
ހަދޮޅުގޮނޑި	ކަނިކުރެދި:0
ހަތަރުބިތް	ހަތަރެސްދުވާރަ:0
ހަތަރުއުންސުރު	ފެން:214
ހަތަރުފަރާތް	ވާތްފަރާތް:1
ހަތަރުފޮތް	ޤުރްއާން:86
ހަތަރެސް	ހަތަރެސްފައި:2
ހަތަރެސްކަން	އަކަ:19
ހަތަރެސްފައި	ހަތަރެސް:3
ހަތަރެސްދުވާރަ	ހަތަރުބިތް:0
ހަތުރު	ބާސްމާ:0|ދެކޮޅުވެރިޔާ:0
ހަތެފައިތާޅަ	ހަތްފައިތަޅާ:0
ހަތްނަރަކަ	ހާވިޔާ:0
ހަތްރީތި	މިއެވެ:68
ހަތްކޮޅު	އިސްފާޅަ:0
ހަތްމީރު	ތޮށި:32
ހަތްފައިތަޅާ	ހަތެފައިތާޅަ:0|ސައުދަބޮވަނަ:0
ހަތްފިޔަވަޅުބެރު	ތިންފުޅީބެރު:0
ހަތްދިހަ	ހިމެރު:0
ހަތްދުން	ހަބަރު:6
ހަތްދެސްމަތި	ފެހުން:2
ހަތްތެލިފޫދުއްވި	ކަޅުފާނަ:0
ހަލަހެލަ	ހަލަވެލި:1
ހަލަނި	މަދިރިފަނި:0
ހަލަކަ	ތަޅުވަޅު:0
ހަލަވެލި	ހަލަހެލަ:0|ހަލާވެލި:0
ހަލާކު	އަރަކު:0|އަވަދި:1
ހަލާކުވުން	ނުބައިވުން:1|އަވަދިވުން:0
ހަލާވެލި	ހަލަވެލި:1
ހަލި	ފަސޭހަ:109
ހަލިންބަ	ރޫފަ:4
ހަލިކަން	ފަސޭހަކަން:1
ހަލިވުން	ހަލުއިވުން:0
ހަލީސާ	މަޖާ:16
ހަލުއި	ހަލުވި:33|ވަރަބަވި:0
ހަލުއިކަން	ހަލުވިކަން:0|އަވަސްކަން:0
ހަލުއިކޮށް	އަވަހަށް:155
ހަލުއިވުން	ހަލިވުން:0
ހަލުވި	ހަލުއި:3|ހަލޫލް:0
ހަލުވިކަން	ހަލުއިކަން:0
ހަލުވިދާ	ހަރުފަދުލި:0
ހަލޫހިނަ	ބިސްހިނި:0
ހަލޫއި	ކޮކާފަނި:0
ހަލޫލް	ހަލުވި:33
ހަލްކާ	ކަމީނާ:1|ކުޅޭކުޅޭ:0
ހަގު	ކަނެއި:0|އެޅަ:2
ހަސަނާތުތަރި	ބޮޑުތަރި:0
ހަސަންހުސެންދަރި	ހުސެންދަރި:0
